Date-Time,FEIc1_FEIc2_FEIc3_b,FEIc2_FEIc3_FEIc4_b,FEIc3_FEIc4_FEIc5_b,FEIc4_FEIc5_FEIc6_b,FEIc5_FEIc6_FEIc7_b,FEIc6_FEIc7_FEIc8_b,FEIc7_FEIc8_FEIc9_b,FEIc8_FEIc9_FEIc10_b,FEIc9_FEIc10_FEIc11_b,FEIc10_FEIc11_FEIc12_b,FEIc11_FEIc12_FEIc13_b,FEIc12_FEIc13_FEIc14_b,FEIc13_FEIc14_FEIc15_b,FEIc14_FEIc15_FEIc16_b
2006-01-02 00:00:00+00:00,0.0025,0.04,-0.0425,-0.0175,0.0025,0.025,0.025,-0.005,0.005,-0.005,0.0125,-0.005,-0.0025,-0.0075
2006-01-03 00:00:00+00:00,0.01,0.0325,-0.04,-0.0025,-0.015,0.03,0.0175,-0.0025,0.0075,-0.0075,0.015,-0.005,-0.005,-0.0025
2006-01-04 00:00:00+00:00,0.0025,0.01,-0.02,0.045,-0.05,0.02,0.02,-0.01,0.0075,-0.0025,0.0125,-0.015,0.005,-0.01
2006-01-05 00:00:00+00:00,-0.0025,0.01,-0.0175,0.0475,-0.0475,0.0125,0.02,-0.0025,0.0,-0.005,0.0125,0.0025,-0.0125,-0.005
2006-01-06 00:00:00+00:00,0.0075,-0.005,-0.01,0.0575,-0.0625,0.015,0.0175,0.0025,0.0,-0.0025,0.015,-0.0075,0.0,-0.0125
2006-01-09 00:00:00+00:00,-0.01,0.025,-0.025,0.04,-0.0475,0.015,0.025,-0.0025,0.0025,-0.005,0.0075,0.005,-0.01,-0.005
2006-01-10 00:00:00+00:00,0.0,0.025,-0.03,0.0225,-0.035,0.02,0.02,0.0025,0.005,-0.005,0.01,0.0,-0.005,-0.005
2006-01-11 00:00:00+00:00,0.0025,0.035,-0.0375,0.01,-0.025,0.02,0.0275,-0.0075,0.0075,0.0,0.0075,-0.0075,0.005,-0.005
2006-01-12 00:00:00+00:00,-0.0025,0.025,-0.0275,0.0275,-0.035,0.0175,0.0125,0.01,-0.005,-0.0025,0.0175,-0.01,0.0075,-0.0125
2006-01-13 00:00:00+00:00,-0.0075,0.02,-0.0225,0.0325,-0.0425,0.0175,0.02,0.0,0.005,-0.005,0.0125,-0.0075,0.005,-0.0125
2006-01-16 00:00:00+00:00,0.0025,0.02,-0.025,0.0325,-0.04,0.015,0.0175,-0.0025,0.01,-0.0025,0.0125,-0.0075,-0.0025,-0.0075
2006-01-17 00:00:00+00:00,0.0375,-0.0175,-0.025,0.0325,-0.025,0.0,0.0175,0.0,0.0075,-0.0075,0.02,-0.0175,0.01,-0.01
2006-01-18 00:00:00+00:00,0.0175,0.025,-0.0575,0.0525,-0.05,0.015,0.015,0.0,0.0125,-0.01,0.015,-0.0075,0.0025,-0.0075
2006-01-19 00:00:00+00:00,0.015,0.0525,-0.0975,0.0925,-0.0975,0.0375,0.02,0.0025,0.005,-0.005,0.0125,0.0,-0.0075,0.0025
2006-01-20 00:00:00+00:00,0.0,0.065,-0.0975,0.0875,-0.09,0.03,0.02,0.0025,0.01,-0.005,0.0125,-0.0125,0.0025,0.0025
2006-01-23 00:00:00+00:00,0.0075,0.055,-0.0975,0.0975,-0.1025,0.035,0.0225,0.0,0.005,0.005,0.0075,-0.005,0.0025,-0.01
2006-01-24 00:00:00+00:00,0.02,0.0425,-0.09,0.0925,-0.0975,0.03,0.0225,0.0,0.01,0.0025,0.0075,0.0,0.0,-0.0125
2006-01-25 00:00:00+00:00,0.015,0.0475,-0.1,0.1075,-0.1175,0.04,0.0275,-0.005,0.01,0.0025,0.01,-0.005,0.0025,-0.01
2006-01-26 00:00:00+00:00,0.0175,0.0475,-0.1025,0.1125,-0.1225,0.0425,0.0225,-0.0025,0.0125,-0.0025,0.0175,-0.01,0.0,-0.0075
2006-01-27 00:00:00+00:00,0.0125,0.06,-0.1125,0.1175,-0.13,0.04,0.0275,0.0025,0.0075,0.0025,0.015,-0.01,0.0,-0.0075
2006-01-30 00:00:00+00:00,0.01,0.0675,-0.125,0.1325,-0.1475,0.05,0.03,0.0025,0.0075,0.0025,0.01,-0.005,-0.0,-0.01
