Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-01-02 00:00:00+00:00,-0.09,-0.085,-0.005,-0.09,-0.125,-0.12,-0.07,-0.02,-0.03,-0.02,-0.03,-0.005,-0.015,-0.02,-0.035
2006-01-03 00:00:00+00:00,-0.095,-0.075,-0.01,-0.09,-0.095,-0.125,-0.065,-0.03,-0.035,-0.02,-0.035,-0.005,-0.015,-0.025,-0.03
2006-01-04 00:00:00+00:00,-0.075,-0.07,-0.05,-0.09,0.0,-0.1,-0.06,-0.02,-0.04,-0.025,-0.03,-0.005,-0.035,-0.025,-0.045
2006-01-05 00:00:00+00:00,-0.07,-0.075,-0.055,-0.09,0.005,-0.09,-0.065,-0.025,-0.03,-0.03,-0.04,-0.015,-0.01,-0.035,-0.045
2006-01-06 00:00:00+00:00,-0.075,-0.06,-0.07,-0.09,0.025,-0.1,-0.07,-0.035,-0.03,-0.03,-0.035,-0.005,-0.02,-0.02,-0.045
2006-01-09 00:00:00+00:00,-0.07,-0.09,-0.04,-0.09,-0.01,-0.105,-0.075,-0.025,-0.03,-0.025,-0.035,-0.02,-0.01,-0.03,-0.04
2006-01-10 00:00:00+00:00,-0.08,-0.08,-0.03,-0.09,-0.045,-0.115,-0.075,-0.035,-0.03,-0.02,-0.03,-0.01,-0.01,-0.02,-0.03
2006-01-11 00:00:00+00:00,-0.09,-0.085,-0.015,-0.09,-0.07,-0.12,-0.08,-0.025,-0.04,-0.025,-0.025,-0.01,-0.025,-0.015,-0.025
2006-01-12 00:00:00+00:00,-0.08,-0.085,-0.035,-0.09,-0.035,-0.105,-0.07,-0.045,-0.025,-0.035,-0.04,-0.005,-0.025,-0.01,-0.035
2006-01-13 00:00:00+00:00,-0.07,-0.085,-0.045,-0.09,-0.025,-0.11,-0.075,-0.035,-0.035,-0.025,-0.035,-0.01,-0.025,-0.015,-0.04
2006-01-16 00:00:00+00:00,-0.085,-0.08,-0.04,-0.09,-0.025,-0.105,-0.075,-0.04,-0.045,-0.025,-0.03,-0.005,-0.02,-0.025,-0.04
2006-01-17 00:00:00+00:00,-0.08,-0.005,-0.04,-0.09,-0.025,-0.075,-0.075,-0.04,-0.04,-0.025,-0.04,0.0,-0.035,-0.015,-0.035
2006-01-18 00:00:00+00:00,-0.08,-0.045,0.005,-0.11,-0.005,-0.105,-0.075,-0.045,-0.045,-0.02,-0.04,-0.01,-0.025,-0.02,-0.035
2006-01-19 00:00:00+00:00,-0.09,-0.06,0.045,-0.15,0.035,-0.16,-0.085,-0.045,-0.04,-0.03,-0.04,-0.015,-0.015,-0.03,-0.025
2006-01-20 00:00:00+00:00,-0.08,-0.08,0.05,-0.145,0.03,-0.15,-0.09,-0.05,-0.045,-0.025,-0.035,-0.01,-0.035,-0.03,-0.025
2006-01-23 00:00:00+00:00,-0.085,-0.07,0.04,-0.155,0.04,-0.165,-0.095,-0.05,-0.05,-0.04,-0.03,-0.015,-0.025,-0.02,-0.04
2006-01-24 00:00:00+00:00,-0.095,-0.055,0.03,-0.15,0.035,-0.16,-0.1,-0.055,-0.055,-0.035,-0.03,-0.015,-0.015,-0.015,-0.04
2006-01-25 00:00:00+00:00,-0.09,-0.06,0.035,-0.165,0.05,-0.185,-0.105,-0.05,-0.06,-0.04,-0.035,-0.015,-0.025,-0.02,-0.04
2006-01-26 00:00:00+00:00,-0.095,-0.06,0.035,-0.17,0.055,-0.19,-0.105,-0.06,-0.065,-0.04,-0.045,-0.01,-0.03,-0.03,-0.045
2006-01-27 00:00:00+00:00,-0.095,-0.07,0.05,-0.175,0.06,-0.2,-0.12,-0.065,-0.06,-0.045,-0.04,-0.01,-0.03,-0.03,-0.045
