Date-Time,FEIcm1_ohlcv_1d_FEIcm2_ohlcv_1d_FEIcm3_ohlcv_1d_butterfly,FEIcm2_ohlcv_1d_FEIcm3_ohlcv_1d_FEIcm4_ohlcv_1d_butterfly,FEIcm3_ohlcv_1d_FEIcm4_ohlcv_1d_FEIcm5_ohlcv_1d_butterfly,FEIcm4_ohlcv_1d_FEIcm5_ohlcv_1d_FEIcm6_ohlcv_1d_butterfly,FEIcm5_ohlcv_1d_FEIcm6_ohlcv_1d_FEIcm7_ohlcv_1d_butterfly,FEIcm6_ohlcv_1d_FEIcm7_ohlcv_1d_FEIcm8_ohlcv_1d_butterfly,FEIcm7_ohlcv_1d_FEIcm8_ohlcv_1d_FEIcm9_ohlcv_1d_butterfly,FEIcm8_ohlcv_1d_FEIcm9_ohlcv_1d_FEIcm10_ohlcv_1d_butterfly,FEIcm9_ohlcv_1d_FEIcm10_ohlcv_1d_FEIcm11_ohlcv_1d_butterfly,FEIcm10_ohlcv_1d_FEIcm11_ohlcv_1d_FEIcm12_ohlcv_1d_butterfly,FEIcm11_ohlcv_1d_FEIcm12_ohlcv_1d_FEIcm13_ohlcv_1d_butterfly,FEIcm12_ohlcv_1d_FEIcm13_ohlcv_1d_FEIcm14_ohlcv_1d_butterfly,FEIcm13_ohlcv_1d_FEIcm14_ohlcv_1d_FEIcm15_ohlcv_1d_butterfly,FEIcm14_ohlcv_1d_FEIcm15_ohlcv_1d_FEIcm16_ohlcv_1d_butterfly
2006-01-02 00:00:00+00:00,0.05,0.025,0.025,-0.005,0.005,-0.005,0.0125,-0.005,-0.0025,-0.0075,,,,
2006-01-03 00:00:00+00:00,0.035,0.03,0.0175,-0.0025,0.0075,-0.0075,0.015,-0.005,-0.005,-0.0025,-0.01,0.015,-0.0075,0.005
2006-01-04 00:00:00+00:00,0.02,0.02,0.02,-0.01,0.0075,-0.0025,0.0125,-0.015,0.005,-0.01,-0.005,0.0125,-0.005,-0.005
2006-01-05 00:00:00+00:00,0.025,0.0125,0.02,-0.0025,0,-0.005,0.0125,0.0025,-0.0125,-0.005,-0.005,,,
2006-01-06 00:00:00+00:00,0.0175,0.015,0.0175,0.0025,0,-0.0025,0.015,-0.0075,0,-0.0125,-0.005,,,
2006-01-09 00:00:00+00:00,0.0175,0.015,0.025,-0.0025,0.0025,-0.005,0.0075,0.005,-0.01,-0.005,0.0125,,,
2006-01-10 00:00:00+00:00,0.025,0.02,0.02,0.0025,0.005,-0.005,0.01,0,-0.005,-0.005,0.01,-0.005,-0.005,-0.005
2006-01-11 00:00:00+00:00,0.0275,0.02,0.0275,-0.0075,0.0075,0,0.0075,-0.0075,0.005,-0.005,0.02,,,
2006-01-12 00:00:00+00:00,0.0275,0.0175,0.0125,0.01,-0.005,-0.0025,0.0175,-0.01,0.0075,-0.0125,0.0225,-0.0125,-0.0225,0.01
2006-01-13 00:00:00+00:00,0.025,0.0175,0.02,0,0.005,-0.005,0.0125,-0.0075,0.005,-0.0125,0.0125,-0.005,,
2006-01-16 00:00:00+00:00,0.025,0.015,0.0175,-0.0025,0.01,-0.0025,0.0125,-0.0075,-0.0025,-0.0075,0.0125,,,
2006-01-17 00:00:00+00:00,0.0175,0.0125,0.0175,0,0.0075,-0.0075,0.02,-0.0175,0.01,-0.01,,,,
2006-01-18 00:00:00+00:00,0.02,0.0175,0.015,0,0.0125,-0.01,0.015,-0.0075,0.0025,-0.0075,,,,
2006-01-19 00:00:00+00:00,0.02,0.02,0.02,0.0025,0.005,-0.005,0.0125,0,-0.0075,0.0025,0.0175,-0.0175,0.005,0.01
2006-01-20 00:00:00+00:00,0.0275,0.015,0.02,0.0025,0.01,-0.005,0.0125,-0.0125,0.0025,0.0025,0.015,-0.01,-0.0025,
2006-01-23 00:00:00+00:00,0.03,0.015,0.0225,0,0.005,0.005,0.0075,-0.005,0.0025,-0.01,0.0125,0.0125,-0.0125,-0.0175
2006-01-24 00:00:00+00:00,0.025,0.0125,0.0225,0,0.01,0.0025,0.0075,0,0,-0.0125,0.0175,-0.015,0.0075,-0.005
2006-01-25 00:00:00+00:00,0.0275,0.015,0.0275,-0.005,0.01,0.0025,0.01,-0.005,0.0025,-0.01,0.0125,,,
2006-01-26 00:00:00+00:00,0.03,0.015,0.0225,-0.0025,0.0125,-0.0025,0.0175,-0.01,0,-0.0075,-0.0025,0.015,0.02,-0.025
