Date-Time,FEIcm10_ohlcv_1d,FEIcm11_ohlcv_1d,FEIcm12_ohlcv_1d,FEIcm13_ohlcv_1d,FEIcm14_ohlcv_1d,FEIcm15_ohlcv_1d,FEIcm16_ohlcv_1d,FEIcm1_ohlcv_1d,FEIcm2_ohlcv_1d,FEIcm3_ohlcv_1d,FEIcm4_ohlcv_1d,FEIcm5_ohlcv_1d,FEIcm6_ohlcv_1d,FEIcm7_ohlcv_1d,FEIcm8_ohlcv_1d,FEIcm9_ohlcv_1d,FEIcm2_ohlcv_1d-FEIcm1_ohlcv_1d_spread,FEIcm3_ohlcv_1d-FEIcm2_ohlcv_1d_spread,FEIcm4_ohlcv_1d-FEIcm3_ohlcv_1d_spread,FEIcm5_ohlcv_1d-FEIcm4_ohlcv_1d_spread,FEIcm6_ohlcv_1d-FEIcm5_ohlcv_1d_spread,FEIcm7_ohlcv_1d-FEIcm6_ohlcv_1d_spread,FEIcm8_ohlcv_1d-FEIcm7_ohlcv_1d_spread,FEIcm9_ohlcv_1d-FEIcm8_ohlcv_1d_spread,FEIcm10_ohlcv_1d-FEIcm9_ohlcv_1d_spread,FEIcm11_ohlcv_1d-FEIcm10_ohlcv_1d_spread,FEIcm12_ohlcv_1d-FEIcm11_ohlcv_1d_spread,FEIcm13_ohlcv_1d-FEIcm12_ohlcv_1d_spread,FEIcm14_ohlcv_1d-FEIcm13_ohlcv_1d_spread,FEIcm15_ohlcv_1d-FEIcm14_ohlcv_1d_spread,FEIcm16_ohlcv_1d-FEIcm15_ohlcv_1d_spread,FEIcm1_ohlcv_1d_FEIcm2_ohlcv_1d_FEIcm3_ohlcv_1d_butterfly,FEIcm2_ohlcv_1d_FEIcm3_ohlcv_1d_FEIcm4_ohlcv_1d_butterfly,FEIcm3_ohlcv_1d_FEIcm4_ohlcv_1d_FEIcm5_ohlcv_1d_butterfly,FEIcm4_ohlcv_1d_FEIcm5_ohlcv_1d_FEIcm6_ohlcv_1d_butterfly,FEIcm5_ohlcv_1d_FEIcm6_ohlcv_1d_FEIcm7_ohlcv_1d_butterfly,FEIcm6_ohlcv_1d_FEIcm7_ohlcv_1d_FEIcm8_ohlcv_1d_butterfly,FEIcm7_ohlcv_1d_FEIcm8_ohlcv_1d_FEIcm9_ohlcv_1d_butterfly,FEIcm8_ohlcv_1d_FEIcm9_ohlcv_1d_FEIcm10_ohlcv_1d_butterfly,FEIcm9_ohlcv_1d_FEIcm10_ohlcv_1d_FEIcm11_ohlcv_1d_butterfly,FEIcm10_ohlcv_1d_FEIcm11_ohlcv_1d_FEIcm12_ohlcv_1d_butterfly,FEIcm11_ohlcv_1d_FEIcm12_ohlcv_1d_FEIcm13_ohlcv_1d_butterfly,FEIcm12_ohlcv_1d_FEIcm13_ohlcv_1d_FEIcm14_ohlcv_1d_butterfly,FEIcm13_ohlcv_1d_FEIcm14_ohlcv_1d_FEIcm15_ohlcv_1d_butterfly,FEIcm14_ohlcv_1d_FEIcm15_ohlcv_1d_FEIcm16_ohlcv_1d_butterfly
2006-01-02 00:00:00+00:00,96.765,96.745,96.71,,,,,97.295,97.075,96.955,96.885,96.865,96.835,96.815,96.785,96.78,-0.22,-0.12,-0.07,-0.02,-0.03,-0.02,-0.03,-0.005,-0.015,-0.02,-0.035,,,,,0.05,0.025,0.025,-0.005,0.005,-0.005,0.0125,-0.005,-0.0025,-0.0075,,,,
2006-01-03 00:00:00+00:00,96.775,96.75,96.72,96.67,96.65,96.615,96.59,97.3,97.105,96.98,96.915,96.885,96.85,96.83,96.795,96.79,-0.195,-0.125,-0.065,-0.03,-0.035,-0.02,-0.035,-0.005,-0.015,-0.025,-0.03,-0.05,-0.02,-0.035,-0.025,0.035,0.03,0.0175,-0.0025,0.0075,-0.0075,0.015,-0.005,-0.005,-0.0025,-0.01,0.015,-0.0075,0.005
2006-01-04 00:00:00+00:00,96.885,96.86,96.815,96.76,96.73,96.69,96.64,97.34,97.2,97.1,97.04,97.02,96.98,96.955,96.925,96.92,-0.14,-0.1,-0.06,-0.02,-0.04,-0.025,-0.03,-0.005,-0.035,-0.025,-0.045,-0.055,-0.03,-0.04,-0.05,0.02,0.02,0.02,-0.01,0.0075,-0.0025,0.0125,-0.015,0.005,-0.01,-0.005,0.0125,-0.005,-0.005
2006-01-05 00:00:00+00:00,96.9,96.865,96.82,96.765,,,,97.345,97.205,97.115,97.05,97.025,96.995,96.965,96.925,96.91,-0.14,-0.09,-0.065,-0.025,-0.03,-0.03,-0.04,-0.015,-0.01,-0.035,-0.045,-0.055,,,,0.025,0.0125,0.02,-0.0025,0,-0.005,0.0125,0.0025,-0.0125,-0.005,-0.005,,,
2006-01-06 00:00:00+00:00,96.9,96.88,96.835,96.78,,,,97.36,97.225,97.125,97.055,97.02,96.99,96.96,96.925,96.92,-0.135,-0.1,-0.07,-0.035,-0.03,-0.03,-0.035,-0.005,-0.02,-0.02,-0.045,-0.055,,,,0.0175,0.015,0.0175,0.0025,0,-0.0025,0.015,-0.0075,0,-0.0125,-0.005,,,
2006-01-09 00:00:00+00:00,96.865,96.835,96.795,96.78,,,,97.33,97.19,97.085,97.01,96.985,96.955,96.93,96.895,96.875,-0.14,-0.105,-0.075,-0.025,-0.03,-0.025,-0.035,-0.02,-0.01,-0.03,-0.04,-0.015,,,,0.0175,0.015,0.025,-0.0025,0.0025,-0.005,0.0075,0.005,-0.01,-0.005,0.0125,,,
2006-01-10 00:00:00+00:00,96.83,96.81,96.78,96.77,96.75,96.72,96.68,97.32,97.155,97.04,96.965,96.93,96.9,96.88,96.85,96.84,-0.165,-0.115,-0.075,-0.035,-0.03,-0.02,-0.03,-0.01,-0.01,-0.02,-0.03,-0.01,-0.02,-0.03,-0.04,0.025,0.02,0.02,0.0025,0.005,-0.005,0.01,0,-0.005,-0.005,0.01,-0.005,-0.005,-0.005
2006-01-11 00:00:00+00:00,96.78,96.765,96.74,96.755,,,,97.305,97.13,97.01,96.93,96.905,96.865,96.84,96.815,96.805,-0.175,-0.12,-0.08,-0.025,-0.04,-0.025,-0.025,-0.01,-0.025,-0.015,-0.025,0.015,,,,0.0275,0.02,0.0275,-0.0075,0.0075,0,0.0075,-0.0075,0.005,-0.005,0.02,,,
2006-01-12 00:00:00+00:00,96.815,96.805,96.77,96.78,96.765,96.705,96.665,97.325,97.165,97.06,96.99,96.945,96.92,96.885,96.845,96.84,-0.16,-0.105,-0.07,-0.045,-0.025,-0.035,-0.04,-0.005,-0.025,-0.01,-0.035,0.01,-0.015,-0.06,-0.04,0.0275,0.0175,0.0125,0.01,-0.005,-0.0025,0.0175,-0.01,0.0075,-0.0125,0.0225,-0.0125,-0.0225,0.01
2006-01-13 00:00:00+00:00,96.825,96.81,96.77,96.755,96.73,,,97.335,97.175,97.065,96.99,96.955,96.92,96.895,96.86,96.85,-0.16,-0.11,-0.075,-0.035,-0.035,-0.025,-0.035,-0.01,-0.025,-0.015,-0.04,-0.015,-0.025,,,0.025,0.0175,0.02,0,0.005,-0.005,0.0125,-0.0075,0.005,-0.0125,0.0125,-0.005,,
