Date-Time,FEIcm2_ohlcv_1d-FEIcm1_ohlcv_1d_spread,FEIcm3_ohlcv_1d-FEIcm2_ohlcv_1d_spread,FEIcm4_ohlcv_1d-FEIcm3_ohlcv_1d_spread,FEIcm5_ohlcv_1d-FEIcm4_ohlcv_1d_spread,FEIcm6_ohlcv_1d-FEIcm5_ohlcv_1d_spread,FEIcm7_ohlcv_1d-FEIcm6_ohlcv_1d_spread,FEIcm8_ohlcv_1d-FEIcm7_ohlcv_1d_spread,FEIcm9_ohlcv_1d-FEIcm8_ohlcv_1d_spread,FEIcm10_ohlcv_1d-FEIcm9_ohlcv_1d_spread,FEIcm11_ohlcv_1d-FEIcm10_ohlcv_1d_spread,FEIcm12_ohlcv_1d-FEIcm11_ohlcv_1d_spread,FEIcm13_ohlcv_1d-FEIcm12_ohlcv_1d_spread,FEIcm14_ohlcv_1d-FEIcm13_ohlcv_1d_spread,FEIcm15_ohlcv_1d-FEIcm14_ohlcv_1d_spread,FEIcm16_ohlcv_1d-FEIcm15_ohlcv_1d_spread
2006-01-02 00:00:00+00:00,-0.22,-0.12,-0.07,-0.02,-0.03,-0.02,-0.03,-0.005,-0.015,-0.02,-0.035,,,,
2006-01-03 00:00:00+00:00,-0.195,-0.125,-0.065,-0.03,-0.035,-0.02,-0.035,-0.005,-0.015,-0.025,-0.03,-0.05,-0.02,-0.035,-0.025
2006-01-04 00:00:00+00:00,-0.14,-0.1,-0.06,-0.02,-0.04,-0.025,-0.03,-0.005,-0.035,-0.025,-0.045,-0.055,-0.03,-0.04,-0.05
2006-01-05 00:00:00+00:00,-0.14,-0.09,-0.065,-0.025,-0.03,-0.03,-0.04,-0.015,-0.01,-0.035,-0.045,-0.055,,,
2006-01-06 00:00:00+00:00,-0.135,-0.1,-0.07,-0.035,-0.03,-0.03,-0.035,-0.005,-0.02,-0.02,-0.045,-0.055,,,
2006-01-09 00:00:00+00:00,-0.14,-0.105,-0.075,-0.025,-0.03,-0.025,-0.035,-0.02,-0.01,-0.03,-0.04,-0.015,,,
2006-01-10 00:00:00+00:00,-0.165,-0.115,-0.075,-0.035,-0.03,-0.02,-0.03,-0.01,-0.01,-0.02,-0.03,-0.01,-0.02,-0.03,-0.04
2006-01-11 00:00:00+00:00,-0.175,-0.12,-0.08,-0.025,-0.04,-0.025,-0.025,-0.01,-0.025,-0.015,-0.025,0.015,,,
2006-01-12 00:00:00+00:00,-0.16,-0.105,-0.07,-0.045,-0.025,-0.035,-0.04,-0.005,-0.025,-0.01,-0.035,0.01,-0.015,-0.06,-0.04
2006-01-13 00:00:00+00:00,-0.16,-0.11,-0.075,-0.035,-0.035,-0.025,-0.035,-0.01,-0.025,-0.015,-0.04,-0.015,-0.025,,
2006-01-16 00:00:00+00:00,-0.155,-0.105,-0.075,-0.04,-0.045,-0.025,-0.03,-0.005,-0.02,-0.025,-0.04,-0.015,,,
2006-01-17 00:00:00+00:00,-0.135,-0.1,-0.075,-0.04,-0.04,-0.025,-0.04,0,-0.035,-0.015,-0.035,,,,
2006-01-18 00:00:00+00:00,-0.15,-0.11,-0.075,-0.045,-0.045,-0.02,-0.04,-0.01,-0.025,-0.02,-0.035,,,,
2006-01-19 00:00:00+00:00,-0.165,-0.125,-0.085,-0.045,-0.04,-0.03,-0.04,-0.015,-0.015,-0.03,-0.025,0.01,-0.025,-0.015,0.005
2006-01-20 00:00:00+00:00,-0.175,-0.12,-0.09,-0.05,-0.045,-0.025,-0.035,-0.01,-0.035,-0.03,-0.025,0.005,-0.015,-0.02,
2006-01-23 00:00:00+00:00,-0.185,-0.125,-0.095,-0.05,-0.05,-0.04,-0.03,-0.015,-0.025,-0.02,-0.04,-0.015,0.01,-0.015,-0.05
2006-01-24 00:00:00+00:00,-0.175,-0.125,-0.1,-0.055,-0.055,-0.035,-0.03,-0.015,-0.015,-0.015,-0.04,-0.005,-0.035,-0.02,-0.03
2006-01-25 00:00:00+00:00,-0.19,-0.135,-0.105,-0.05,-0.06,-0.04,-0.035,-0.015,-0.025,-0.02,-0.04,-0.015,,,
2006-01-26 00:00:00+00:00,-0.195,-0.135,-0.105,-0.06,-0.065,-0.04,-0.045,-0.01,-0.03,-0.03,-0.045,-0.05,-0.02,0.02,-0.03
2006-01-27 00:00:00+00:00,-0.195,-0.14,-0.12,-0.065,-0.06,-0.045,-0.04,-0.01,-0.03,-0.03,-0.045,0.01,-0.025,-0.005,
2006-01-30 00:00:00+00:00,-0.205,-0.145,-0.12,-0.06,-0.055,-0.04,-0.035,-0.015,-0.025,-0.025,-0.045,-0.005,-0.075,,
2006-01-31 00:00:00+00:00,-0.205,-0.145,-0.12,-0.065,-0.06,-0.03,-0.035,-0.01,-0.02,-0.025,-0.04,-0.015,-0.02,-0.02,-0.03
2006-02-01 00:00:00+00:00,-0.22,-0.155,-0.125,-0.065,-0.055,-0.035,-0.04,-0.01,-0.025,-0.02,-0.045,-0.02,0.04,-0.02,-0.03
2006-02-02 00:00:00+00:00,-0.215,-0.16,-0.115,-0.065,-0.055,-0.03,-0.05,-0.01,-0.015,-0.03,-0.04,-0.03,-0.04,0.03,
2006-02-03 00:00:00+00:00,-0.2,-0.155,-0.11,-0.055,-0.05,-0.045,-0.035,-0.02,-0.035,-0.025,-0.045,-0.005,,,
2006-02-06 00:00:00+00:00,-0.215,-0.15,-0.115,-0.055,-0.05,-0.04,-0.035,-0.015,-0.035,-0.03,-0.04,-0.01,,,
2006-02-07 00:00:00+00:00,-0.21,-0.15,-0.11,-0.055,-0.05,-0.045,-0.04,-0.02,-0.035,-0.03,-0.045,0,-0.025,,
2006-02-08 00:00:00+00:00,-0.205,-0.135,-0.1,-0.06,-0.06,-0.05,-0.055,-0.025,-0.025,-0.025,-0.05,,,,
2006-02-09 00:00:00+00:00,-0.195,-0.135,-0.1,-0.055,-0.06,-0.04,-0.05,-0.015,-0.035,-0.03,-0.04,-0.08,-0.04,0,-0.03
2006-02-10 00:00:00+00:00,-0.19,-0.14,-0.1,-0.06,-0.05,-0.045,-0.045,-0.03,-0.035,-0.04,-0.02,-0.025,-0.055,0,-0.035
2006-02-13 00:00:00+00:00,-0.185,-0.135,-0.1,-0.065,-0.05,-0.045,-0.05,-0.025,-0.035,-0.04,-0.05,-0.03,-0.035,-0.03,-0.04
2006-02-14 00:00:00+00:00,-0.185,-0.14,-0.1,-0.06,-0.06,-0.055,-0.055,-0.015,-0.035,-0.05,-0.035,-0.005,,,
2006-02-15 00:00:00+00:00,-0.19,-0.13,-0.1,-0.065,-0.06,-0.055,-0.05,-0.025,-0.04,-0.035,-0.05,0.005,,,
2006-02-16 00:00:00+00:00,-0.185,-0.13,-0.11,-0.065,-0.06,-0.05,-0.055,-0.025,-0.035,-0.035,-0.055,-0.025,,,
2006-02-17 00:00:00+00:00,-0.17,-0.12,-0.1,-0.06,-0.06,-0.05,-0.05,-0.025,-0.035,-0.03,-0.06,-0.03,-0.035,,
2006-02-20 00:00:00+00:00,-0.165,-0.12,-0.085,-0.055,-0.055,-0.05,-0.05,-0.025,-0.04,-0.04,-0.04,-0.025,-0.035,,
2006-02-21 00:00:00+00:00,-0.175,-0.13,-0.1,-0.05,-0.05,-0.045,-0.05,-0.02,-0.04,-0.03,-0.045,-0.02,-0.03,,
2006-02-22 00:00:00+00:00,-0.18,-0.14,-0.1,-0.05,-0.045,-0.05,-0.04,-0.015,-0.025,-0.025,-0.045,-0.03,-0.02,,
2006-02-23 00:00:00+00:00,-0.205,-0.16,-0.115,-0.06,-0.05,-0.04,-0.035,-0.02,-0.03,-0.025,-0.04,-0.02,0.005,-0.02,-0.045
2006-02-24 00:00:00+00:00,-0.21,-0.165,-0.12,-0.06,-0.05,-0.04,-0.035,-0.015,-0.02,-0.025,-0.04,-0.01,-0.045,,
2006-02-27 00:00:00+00:00,-0.225,-0.175,-0.125,-0.065,-0.055,-0.035,-0.045,-0.015,-0.025,-0.025,-0.04,-0.005,-0.015,,
2006-02-28 00:00:00+00:00,-0.225,-0.17,-0.12,-0.06,-0.055,-0.035,-0.04,-0.015,-0.025,-0.025,-0.04,-0.025,,,
2006-03-01 00:00:00+00:00,-0.235,-0.18,-0.115,-0.06,-0.045,-0.04,-0.035,-0.02,-0.02,-0.025,-0.04,-0.02,,,
2006-03-02 00:00:00+00:00,-0.26,-0.185,-0.125,-0.07,-0.06,-0.045,-0.04,-0.015,-0.025,-0.025,-0.04,-0.015,,,
2006-03-03 00:00:00+00:00,-0.26,-0.195,-0.135,-0.07,-0.06,-0.05,-0.04,-0.015,-0.025,-0.03,-0.045,-0.005,-0.025,0.01,-0.04
2006-03-06 00:00:00+00:00,-0.265,-0.2,-0.135,-0.075,-0.06,-0.05,-0.045,-0.015,-0.025,-0.02,-0.035,-0.01,,,
2006-03-07 00:00:00+00:00,-0.275,-0.195,-0.14,-0.08,-0.065,-0.05,-0.045,-0.015,-0.03,-0.03,-0.02,-0.015,,,
2006-03-08 00:00:00+00:00,-0.275,-0.195,-0.14,-0.085,-0.06,-0.05,-0.055,-0.015,-0.02,-0.025,-0.04,0.01,-0.01,,
