,YBAcm1,YBAcm2,YBAcm3,YBAcm4,YBAcm5,YBAcm6,YBAcm7,YBAcm8,YBAcm9,YBAcm10,YBAcm11,YBAcm12
Timestamp,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest
6/3/2025,241046,307931,321523,211070,190336,112107,90923,55190,5284,963,540,318
6/2/2025,254425,311750,318417,208165,184180,107889,87362,53561,5542,1036,569,318
5/30/2025,268571,310694,322589,207724,181514,107785,87514,53459,5130,963,560,308
5/29/2025,257417,306111,320322,211414,176507,106039,88265,52646,5064,963,560,308
5/28/2025,260707,305146,319084,209813,173150,107393,89428,52214,5091,963,560,308
5/27/2025,254833,295331,322203,205892,171522,107405,90199,51976,5341,963,560,308
5/26/2025,263310,294548,324372,204982,171192,106803,89394,52113,5356,963,560,308
5/23/2025,260503,292291,322087,207081,170793,104645,87532,51534,5002,963,510,290
5/22/2025,258226,291842,323284,204823,171674,103692,87465,50052,5391,967,510,290
5/21/2025,267569,287215,325347,205301,171161,101950,84094,49492,5576,1088,510,300
5/20/2025,292113,287379,320218,206118,167750,100904,82291,47139,5668,1182,510,293
5/19/2025,285173,273677,309306,202855,166703,99450,80267,46231,5670,1186,510,293
5/16/2025,298091,273960,311541,202299,166272,100206,79616,46549,5676,1207,510,311
5/15/2025,313551,286148,311523,203176,166977,100661,79024,45634,5601,1354,510,311
5/14/2025,314410,287203,307709,201845,168222,101713,78369,45327,5563,1353,510,311
5/13/2025,328975,295311,308807,200988,169302,103214,79442,45235,5603,1377,510,311
5/12/2025,324742,292515,298996,200947,168752,103474,77510,43749,5051,1333,555,351
5/9/2025,330537,291564,301070,198644,166699,101013,79168,42912,5053,1343,555,371
5/8/2025,332049,283078,295241,194263,163848,100409,79832,42634,4928,1343,556,405
5/7/2025,332236,286292,298783,194481,160023,99566,79493,43240,4878,1333,546,430
5/6/2025,327683,288641,297415,193538,158176,98466,79195,42626,4938,995,233,430
5/5/2025,329855,287368,296742,188290,157910,98402,78875,41921,4738,993,233,430
5/2/2025,331522,292996,296233,190866,158115,98438,79694,42815,4735,992,233,430
5/1/2025,335491,292084,288721,188857,155952,96630,79811,42078,3936,392,233,430
4/30/2025,331543,295634,287766,187176,154490,96398,78962,41675,3747,358,233,430
4/29/2025,320714,289006,283501,186456,152399,97379,77102,39708,3721,356,233,430
4/28/2025,321682,287307,278671,183601,151958,96344,77040,38467,3824,356,233,430
4/25/2025,314620,292323,280475,185844,149920,96999,76390,38427,3817,336,248,430
4/24/2025,314009,290967,284140,184772,150329,96501,76617,38465,3789,336,233,430
4/23/2025,320527,288940,280477,183728,151343,96452,76273,39006,3599,335,233,430
4/22/2025,324852,290463,274409,184275,151943,95561,75200,39179,3618,335,241,430
4/17/2025,317548,289297,274727,183181,151544,96069,78293,39254,3583,335,253,430
4/16/2025,323032,292487,275445,181922,151716,96238,80962,39380,3193,335,253,430
4/15/2025,313910,291491,274290,180206,151044,96594,79544,38872,2989,335,253,430
4/14/2025,310969,286652,276059,180031,149704,96410,76964,37695,2998,335,253,430
4/11/2025,320915,290295,282447,178068,147970,93085,76187,36399,3195,335,253,390
4/10/2025,312103,295822,281171,173068,148703,94909,76228,35220,3372,335,254,265
4/9/2025,299410,304263,289601,174236,148883,96107,73404,35096,3478,332,254,220
4/8/2025,297809,291478,277507,176865,148694,97345,76308,35445,3600,321,284,185
4/7/2025,289637,299319,288070,178799,154112,94758,76261,34637,3553,325,263,185
4/4/2025,285661,310344,296216,174587,143089,94018,76559,34406,3543,308,253,148
4/3/2025,268449,288060,279295,167392,141159,91453,78107,31919,2658,298,253,80
4/2/2025,292829,282216,278948,166247,142974,89216,78470,32072,2864,298,253,80
4/1/2025,285577,286158,281718,165174,139868,90732,76377,29112,2791,298,253,80
3/31/2025,275987,285050,278088,163277,138801,92772,77505,28769,2783,298,253,80
3/28/2025,270450,280297,280197,162655,135564,90995,76247,28681,2628,259,253,80
3/27/2025,273867,284409,275891,160600,134329,90250,75532,28554,2672,259,253,80
3/26/2025,282718,286595,271901,161636,133600,89936,75749,27963,2652,259,253,80
3/25/2025,276441,285045,266698,160398,133738,91741,74965,27026,2632,259,233,80
3/24/2025,277814,303526,264058,160721,133865,92594,78326,26617,2589,259,233,80
3/21/2025,282211,301179,258815,158793,127472,90545,78136,25099,2391,259,233,80
3/20/2025,283144,301131,255661,158704,123649,85758,77111,23790,2362,259,233,80
3/19/2025,266600,292696,243920,156920,120417,84936,75109,22278,1800,259,233,80
3/18/2025,266720,290926,244793,158032,120559,82939,75073,21773,1714,259,233,80
3/17/2025,261932,284121,239788,156352,114640,80023,74580,16819,1570,259,233,80
3/14/2025,263739,281684,238123,154557,113959,80009,73951,16875,1551,259,233,20
3/13/2025,212813,267256,275422,237886,152190,110069,79302,73481,16411,1559,259,233
3/12/2025,212813,264775,276006,234405,156612,110382,79634,72535,15737,1552,259,233
3/11/2025,212305,261941,278626,234488,146063,108074,78372,71760,14595,1544,259,233
3/10/2025,242965,270843,288312,235870,146171,106958,78617,70776,12856,1037,259,213
3/7/2025,239336,281552,274277,240138,143223,105175,78240,70455,7733,1018,259,192
3/6/2025,239255,275347,269264,238924,146288,107559,76189,69700,7567,1018,259,192
3/5/2025,254701,273739,274276,243284,149434,107920,75862,68472,7464,1018,259,192
3/4/2025,260384,270634,268027,243270,141884,108445,74216,67205,7453,928,259,157
3/3/2025,275365,278577,273034,242903,140690,115926,73384,67147,7465,928,259,157
2/28/2025,276290,276929,269711,244779,141265,118317,73561,69113,7451,928,259,157
2/27/2025,281667,281916,262563,247770,140283,119165,71738,69446,7443,928,259,157
2/26/2025,283813,288262,259512,255332,141628,123727,73030,67802,7131,928,259,157
2/25/2025,289364,292506,266577,253149,143038,122614,74048,67912,7095,876,259,157
2/24/2025,301762,297097,268252,252371,143719,124828,73862,68973,7042,877,259,157
2/21/2025,309420,299571,268558,251741,148005,127487,73225,70826,6982,876,259,157
2/20/2025,312307,298258,266625,247966,147101,127972,72213,69455,7026,876,269,157
2/19/2025,315099,288734,256212,238590,147276,124852,71180,67705,7125,876,269,157
2/18/2025,322305,292517,252344,239842,147409,123238,69487,65820,7131,876,269,157
2/17/2025,327494,272038,247094,231638,146541,118043,67057,64259,7166,876,269,157
2/14/2025,328152,274682,245662,232250,145138,118025,66730,64029,7164,881,269,157
2/13/2025,334425,276787,246170,237890,145231,117978,65868,63254,7143,941,269,157
2/12/2025,337824,271695,241507,230219,143942,113414,64490,62549,7079,941,269,157
2/11/2025,333543,266986,236117,223485,142043,110306,63521,61739,7058,941,269,157
2/10/2025,328148,271236,234487,224963,140749,109108,63501,61558,7076,941,269,157
2/7/2025,329655,269779,228898,225349,138915,108023,63156,61067,7075,891,269,157
2/6/2025,329849,265853,228828,230626,138368,108072,62873,60223,7014,756,282,137
2/5/2025,334197,268295,231365,226879,138671,107747,63387,59180,7077,756,282,137
2/4/2025,334944,260918,228659,224637,138527,105923,63951,57679,7017,659,282,137
2/3/2025,333816,256764,225813,225586,138307,106069,64845,56522,6993,659,282,137
1/31/2025,324242,258709,223863,215557,141034,106674,63653,55585,7349,656,282,137
1/30/2025,327227,265193,226195,216481,141647,106698,63426,53223,7317,656,282,137
1/29/2025,335065,265171,228179,216306,142853,107039,63833,52217,7296,656,282,137
1/28/2025,330897,262670,228741,218257,142697,106185,65266,51057,7290,656,282,137
1/27/2025,330268,268273,229578,217273,142079,103847,64253,50082,7250,676,282,137
1/24/2025,331700,268099,228568,216356,142001,104022,64472,49815,7208,676,282,137
1/23/2025,332293,269000,231434,218737,141966,104261,65134,49713,7124,721,282,137
1/22/2025,336502,268903,229370,219900,141949,104262,65794,48932,6955,721,282,137
1/21/2025,335006,268503,227657,223503,140059,103659,66465,48573,6881,712,282,137
1/20/2025,337690,271451,228687,223801,140024,106510,68032,48117,6541,712,282,137
1/17/2025,339176,274911,230608,232394,141292,104634,67819,48284,6321,712,282,137
1/16/2025,347443,274354,228848,231699,147994,103804,66987,52632,6069,660,282,131
1/15/2025,344115,271581,229079,233606,148870,101510,68012,50666,6055,592,282,131
1/14/2025,349193,273897,230661,233425,148962,100357,66558,48746,6121,591,282,131
1/13/2025,350644,271292,228037,229070,144884,98880,63539,47905,6487,557,282,131
1/10/2025,347912,258390,224970,223978,145141,98536,63947,46756,6129,552,272,131
1/9/2025,344919,256534,224772,221128,141958,99266,63669,46460,5768,552,272,131
1/8/2025,344069,255302,221312,221296,152166,103313,62834,40737,5406,562,272,131
1/7/2025,340797,254695,219619,210389,149514,100110,61995,38306,4930,552,272,131
1/6/2025,332954,246940,216342,205174,144352,99072,61082,38231,4923,552,272,131
1/3/2025,329517,243772,219325,203907,141436,99495,59848,38115,4321,542,272,131
1/2/2025,336805,240556,217925,203522,143829,96184,59400,34559,4244,542,236,131
12/31/2024,333329,239902,217987,203217,143061,96818,59468,33704,4058,547,236,131
12/30/2024,333821,239934,218215,203174,143196,96235,56505,26622,3945,592,236,141
12/27/2024,338474,236237,217404,201921,142449,94862,55800,25249,3926,592,236,141
12/24/2024,346540,237364,217082,201781,143605,97703,56618,24539,3926,592,236,141
12/23/2024,345594,235989,217243,202759,143132,97610,57299,23844,3927,592,236,141
12/20/2024,346884,234807,218627,201495,142323,95879,57781,23707,3928,592,236,141
12/19/2024,341573,224688,219753,194662,140320,92195,56732,22896,3958,592,236,181
12/18/2024,334296,221410,217049,188703,133779,89482,52743,21289,3861,593,236,181
12/17/2024,327866,212998,218186,186581,133269,90781,53280,21657,3861,568,236,181
12/16/2024,326494,210473,218624,186830,133935,88676,53145,21366,3941,618,236,181
12/13/2024,328402,209471,220676,188205,132928,88125,51873,20024,3878,618,241,161
