#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
YBAc11,YBAU6,Market Price,2004-01-06T03:47:00.000000000Z,+11,Intraday 1Min,93.66,93.66,93.66,93.66,5
YBAc11,YBAU6,Market Price,2004-01-14T00:30:00.000000000Z,+11,Intraday 1Min,94.04,94.04,94.04,94.04,8
YBAc11,YBAU6,Market Price,2004-01-14T02:05:00.000000000Z,+11,Intraday 1Min,94.05,94.05,94.05,94.05,17
YBAc11,YBAU6,Market Price,2004-01-15T22:33:00.000000000Z,+11,Intraday 1Min,94.03,94.03,94.03,94.03,50
YBAc11,YBAU6,Market Price,2004-01-15T23:43:00.000000000Z,+11,Intraday 1Min,94.03,94.03,94.03,94.03,25
YBAc11,YBAU6,Market Price,2004-01-15T23:50:00.000000000Z,+11,Intraday 1Min,94.03,94.03,94.03,94.03,44
YBAc11,YBAU6,Market Price,2004-01-26T22:06:00.000000000Z,+11,Intraday 1Min,93.91,93.91,93.91,93.91,50
YBAc11,YBAU6,Market Price,2004-01-26T22:09:00.000000000Z,+11,Intraday 1Min,93.91,93.91,93.91,93.91,50
YBAc11,YBAU6,Market Price,2004-01-26T22:12:00.000000000Z,+11,Intraday 1Min,93.91,93.91,93.91,93.91,25
YBAc11,YBAU6,Market Price,2004-01-26T22:27:00.000000000Z,+11,Intraday 1Min,93.89,93.89,93.89,93.89,25
YBAc11,YBAU6,Market Price,2004-01-26T23:40:00.000000000Z,+11,Intraday 1Min,93.87,93.87,93.87,93.87,40
YBAc11,YBAU6,Market Price,2004-01-27T04:34:00.000000000Z,+11,Intraday 1Min,93.87,93.87,93.87,93.87,15
YBAc11,YBAU6,Market Price,2004-01-28T23:32:00.000000000Z,+11,Intraday 1Min,93.73,93.73,93.73,93.73,50
YBAc11,YBAU6,Market Price,2004-01-29T05:26:00.000000000Z,+11,Intraday 1Min,93.74,93.74,93.74,93.74,1
YBAc11,YBAU6,Market Price,2004-02-16T03:11:00.000000000Z,+11,Intraday 1Min,94.07,94.07,94.07,94.07,50
YBAc11,YBAU6,Market Price,2004-02-16T05:04:00.000000000Z,+11,Intraday 1Min,94.07,94.07,94.07,94.07,50
YBAc11,YBAU6,Market Price,2004-02-16T05:06:00.000000000Z,+11,Intraday 1Min,94.07,94.07,94.07,94.07,25
YBAc11,YBAU6,Market Price,2004-02-16T05:17:00.000000000Z,+11,Intraday 1Min,94.07,94.07,94.07,94.07,40
YBAc11,YBAU6,Market Price,2004-02-17T05:28:00.000000000Z,+11,Intraday 1Min,93.98,93.98,93.98,93.98,2
YBAc11,YBAU6,Market Price,2004-02-24T05:29:00.000000000Z,+11,Intraday 1Min,93.88,93.88,93.88,93.88,100
YBAc11,YBAU6,Market Price,2004-03-01T05:22:00.000000000Z,+11,Intraday 1Min,94.05,94.05,94.05,94.05,2
YBAc11,YBAU6,Market Price,2004-03-01T05:27:00.000000000Z,+11,Intraday 1Min,94.05,94.05,94.05,94.05,4
YBAc11,YBAZ6,Market Price,2004-03-15T00:34:00.000000000Z,+11,Intraday 1Min,94.34,94.34,94.34,94.34,100
YBAc11,YBAZ6,Market Price,2004-03-15T00:39:00.000000000Z,+11,Intraday 1Min,94.33,94.33,94.33,94.33,100
YBAc11,YBAZ6,Market Price,2004-03-17T05:20:00.000000000Z,+11,Intraday 1Min,94.41,94.41,94.41,94.41,5
