spread,entry_time,exit_time,direction,entry_price,exit_price,profit,exit_reason
FEIc6-FEIc5_s,2006-03-24 00:00:00+00:00,2006-03-28 00:00:00+00:00,1,-0.34,-0.415,-0.015,stop_loss
FEIc6-FEIc5_s,2006-07-06 00:00:00+00:00,2006-07-07 00:00:00+00:00,1,-0.405,-0.37,0.035,target
FEIc6-FEIc5_s,2006-10-10 00:00:00+00:00,2006-10-17 00:00:00+00:00,1,-0.18,0.0,0.18,signal
FEIc6-FEIc5_s,2006-12-27 00:00:00+00:00,2007-01-05 00:00:00+00:00,1,-0.18,-0.2,-0.015,stop_loss
FEIc6-FEIc5_s,2007-04-05 00:00:00+00:00,2007-04-10 00:00:00+00:00,1,-0.145,-0.17,-0.015,stop_loss
FEIc6-FEIc5_s,2007-06-19 00:00:00+00:00,2007-06-20 00:00:00+00:00,1,-0.24,-0.275,-0.015,stop_loss
FEIc6-FEIc5_s,2007-09-18 00:00:00+00:00,2007-09-19 00:00:00+00:00,-1,0.17,0.105,0.035,target
FEIc6-FEIc5_s,2008-01-04 00:00:00+00:00,2008-01-07 00:00:00+00:00,-1,0.0,-0.035,0.035,target
FEIc6-FEIc5_s,2008-01-14 00:00:00+00:00,2008-01-15 00:00:00+00:00,-1,0.045,-0.055,0.1,signal
FEIc6-FEIc5_s,2008-01-17 00:00:00+00:00,2008-01-21 00:00:00+00:00,1,-0.215,-0.335,-0.015,stop_loss
FEIc6-FEIc5_s,2008-02-19 00:00:00+00:00,2008-02-21 00:00:00+00:00,-1,0.25,0.195,0.035,target
FEIc6-FEIc5_s,2008-06-17 00:00:00+00:00,2008-06-19 00:00:00+00:00,1,-0.575,-0.59,-0.015,stop_loss
FEIc6-FEIc5_s,2008-09-16 00:00:00+00:00,2008-09-18 00:00:00+00:00,-1,0.355,0.205,0.035,target
FEIc6-FEIc5_s,2008-09-26 00:00:00+00:00,2008-09-28 00:00:00+00:00,-1,0.37,0.385,-0.015,stop_loss
FEIc6-FEIc5_s,2009-01-09 00:00:00+00:00,2009-01-12 00:00:00+00:00,-1,1.005,1.05,-0.015,stop_loss
FEIc6-FEIc5_s,2009-09-15 00:00:00+00:00,2009-09-17 00:00:00+00:00,-1,0.055,0.01,0.035,target
FEIc6-FEIc5_s,2009-11-06 00:00:00+00:00,2009-11-11 00:00:00+00:00,1,-0.255,-0.275,-0.015,stop_loss
FEIc3-FEIc2_s,2006-04-06 00:00:00+00:00,2006-04-07 00:00:00+00:00,-1,0.01,-0.095,0.105,signal
FEIc3-FEIc2_s,2006-04-18 00:00:00+00:00,2006-04-25 00:00:00+00:00,-1,-0.015,0.04,-0.015,stop_loss
FEIc3-FEIc2_s,2006-08-15 00:00:00+00:00,2006-08-18 00:00:00+00:00,-1,0.015,-0.085,0.1,signal
FEIc3-FEIc2_s,2006-10-17 00:00:00+00:00,2006-10-24 00:00:00+00:00,-1,0.005,-0.045,0.035,target
FEIc3-FEIc2_s,2006-12-01 00:00:00+00:00,2006-12-07 00:00:00+00:00,-1,0.005,-0.055,0.06,signal
FEIc3-FEIc2_s,2007-01-18 00:00:00+00:00,2007-02-02 00:00:00+00:00,-1,0.0,-0.015,0.015,signal
FEIc3-FEIc2_s,2007-03-20 00:00:00+00:00,2007-03-22 00:00:00+00:00,1,-0.13,-0.075,0.035,target
