Date-Time,FEIc6-FEIc5_s,FEIc3-FEIc2_s,FEIc5-FEIc4_s,FEIc4-FEIc3_s,FEIc2-FEIc1_s,FEIc6-FEIc5_s_signal,FEIc3-FEIc2_s_signal,FEIc5-FEIc4_s_signal,FEIc4-FEIc3_s_signal,FEIc2-FEIc1_s_signal
2006-01-02 00:00:00+00:00,-0.125,-0.085,-0.09,-0.005,-0.09,0,0,0,0,0
2006-01-03 00:00:00+00:00,-0.095,-0.075,-0.09,-0.01,-0.095,0,0,0,0,0
2006-01-04 00:00:00+00:00,0.0,-0.07,-0.09,-0.05,-0.075,0,0,0,0,0
2006-01-05 00:00:00+00:00,0.005,-0.075,-0.09,-0.055,-0.07,0,0,0,0,0
2006-01-06 00:00:00+00:00,0.025,-0.06,-0.09,-0.07,-0.075,0,0,0,0,0
2006-01-09 00:00:00+00:00,-0.01,-0.09,-0.09,-0.04,-0.07,0,0,0,0,0
2006-01-10 00:00:00+00:00,-0.045,-0.08,-0.09,-0.03,-0.08,0,0,0,0,0
2006-01-11 00:00:00+00:00,-0.07,-0.085,-0.09,-0.015,-0.09,0,0,0,0,0
2006-01-12 00:00:00+00:00,-0.035,-0.085,-0.09,-0.035,-0.08,0,0,0,0,0
2006-01-13 00:00:00+00:00,-0.025,-0.085,-0.09,-0.045,-0.07,0,0,0,0,0
2006-01-16 00:00:00+00:00,-0.025,-0.08,-0.09,-0.04,-0.085,0,0,0,0,0
2006-01-17 00:00:00+00:00,-0.025,-0.005,-0.09,-0.04,-0.08,0,0,0,0,0
2006-01-18 00:00:00+00:00,-0.005,-0.045,-0.11,0.005,-0.08,0,0,0,0,0
2006-01-19 00:00:00+00:00,0.035,-0.06,-0.15,0.045,-0.09,0,0,0,0,0
2006-01-20 00:00:00+00:00,0.03,-0.08,-0.145,0.05,-0.08,0,0,0,0,0
2006-01-23 00:00:00+00:00,0.04,-0.07,-0.155,0.04,-0.085,0,0,0,0,0
2006-01-24 00:00:00+00:00,0.035,-0.055,-0.15,0.03,-0.095,0,0,0,0,0
2006-01-25 00:00:00+00:00,0.05,-0.06,-0.165,0.035,-0.09,0,0,0,0,0
2006-01-26 00:00:00+00:00,0.055,-0.06,-0.17,0.035,-0.095,0,0,0,0,0
2006-01-27 00:00:00+00:00,0.06,-0.07,-0.175,0.05,-0.095,0,0,0,0,0
2006-01-30 00:00:00+00:00,0.075,-0.075,-0.19,0.06,-0.095,0,0,0,0,0
2006-01-31 00:00:00+00:00,0.075,-0.075,-0.19,0.06,-0.1,0,0,0,0,0
2006-02-01 00:00:00+00:00,0.09,-0.075,-0.205,0.06,-0.095,0,0,0,0,0
2006-02-02 00:00:00+00:00,0.08,-0.08,-0.195,0.06,-0.095,0,0,0,0,0
2006-02-03 00:00:00+00:00,0.06,-0.085,-0.175,0.06,-0.095,0,0,0,0,0
2006-02-06 00:00:00+00:00,0.07,-0.09,-0.185,0.06,-0.09,0,0,0,0,0
2006-02-07 00:00:00+00:00,0.07,-0.085,-0.185,0.06,-0.095,0,0,0,0,0
2006-02-08 00:00:00+00:00,0.065,-0.085,-0.18,0.06,-0.095,0,0,0,0,0
2006-02-09 00:00:00+00:00,0.05,-0.09,-0.165,0.06,-0.09,0,0,0,0,0
2006-02-10 00:00:00+00:00,0.045,-0.065,-0.16,0.035,-0.09,0,0,0,0,0
2006-02-13 00:00:00+00:00,0.04,-0.065,-0.155,0.035,-0.085,0,0,0,0,0
2006-02-14 00:00:00+00:00,0.04,-0.065,-0.005,-0.115,-0.005,0,0,0,0,0
2006-02-15 00:00:00+00:00,0.04,-0.065,0.0,-0.12,-0.005,0,0,0,0,0
2006-02-16 00:00:00+00:00,0.04,-0.065,0.0,-0.12,0.0,0,0,0,0,0
2006-02-17 00:00:00+00:00,0.04,-0.11,-0.025,-0.05,-0.01,0,0,0,0,0
2006-02-20 00:00:00+00:00,0.04,-0.11,-0.025,-0.05,-0.005,0,0,0,0,0
2006-02-21 00:00:00+00:00,0.04,-0.11,-0.01,-0.065,0.0,0,0,0,0,0
2006-02-22 00:00:00+00:00,0.04,-0.055,-0.005,-0.06,-0.065,0,0,0,0,0
2006-02-23 00:00:00+00:00,0.04,-0.07,0.025,-0.07,-0.065,0,0,0,0,0
2006-02-24 00:00:00+00:00,0.04,-0.07,0.035,-0.075,-0.065,0,0,0,0,0
2006-02-27 00:00:00+00:00,0.04,-0.085,0.055,-0.08,-0.06,0,0,0,0,0
2006-02-28 00:00:00+00:00,0.04,-0.07,0.055,-0.095,-0.06,0,0,0,0,0
2006-03-01 00:00:00+00:00,0.04,-0.075,0.06,-0.085,-0.075,0,0,0,0,0
2006-03-02 00:00:00+00:00,0.04,-0.075,0.09,-0.1,-0.085,0,0,0,0,0
2006-03-03 00:00:00+00:00,0.04,-0.08,0.1,-0.095,-0.085,0,0,0,0,0
2006-03-06 00:00:00+00:00,0.04,-0.085,0.095,-0.095,-0.085,0,0,0,0,0
2006-03-07 00:00:00+00:00,0.04,-0.08,0.105,-0.105,-0.09,0,0,0,0,0
2006-03-08 00:00:00+00:00,0.04,-0.08,0.11,-0.11,-0.085,0,0,0,0,0
2006-03-09 00:00:00+00:00,0.04,-0.08,0.1,-0.1,-0.085,0,0,0,0,0
2006-03-10 00:00:00+00:00,0.04,-0.075,0.115,-0.115,-0.085,0,0,0,0,0
2006-03-13 00:00:00+00:00,0.04,-0.09,0.125,-0.105,-0.095,0,0,0,0,0
2006-03-14 00:00:00+00:00,-0.305,-0.1,0.125,-0.015,-0.085,0,0,0,0,0
2006-03-15 00:00:00+00:00,-0.335,-0.105,0.125,-0.01,-0.09,0,0,0,0,0
2006-03-16 00:00:00+00:00,-0.325,-0.105,0.125,-0.005,-0.09,0,0,0,0,0
2006-03-17 00:00:00+00:00,-0.375,-0.115,0.125,0.03,-0.1,0,0,0,0,0
2006-03-20 00:00:00+00:00,-0.35,-0.105,0.125,0.02,-0.095,0,0,0,0,0
2006-03-21 00:00:00+00:00,-0.36,-0.095,0.125,0.025,-0.105,0,0,0,0,0
2006-03-22 00:00:00+00:00,-0.35,-0.09,0.125,0.02,-0.11,0,0,0,0,0
2006-03-23 00:00:00+00:00,-0.365,-0.105,0.21,-0.06,-0.095,0,0,0,0,0
2006-03-24 00:00:00+00:00,-0.34,-0.09,0.21,-0.075,-0.1,1,0,0,0,0
2006-03-27 00:00:00+00:00,-0.345,-0.1,0.21,-0.07,-0.09,1,0,0,0,0
2006-03-28 00:00:00+00:00,-0.415,-0.11,0.21,-0.01,-0.1,1,0,0,0,0
2006-03-29 00:00:00+00:00,-0.435,-0.105,0.285,-0.075,-0.11,1,0,-1,0,0
2006-03-30 00:00:00+00:00,-0.445,-0.11,0.285,-0.07,-0.105,1,0,-1,0,0
2006-03-31 00:00:00+00:00,-0.46,-0.115,0.285,-0.065,-0.1,1,0,-1,0,0
2006-04-03 00:00:00+00:00,-0.49,-0.115,0.285,-0.05,-0.11,1,0,-1,0,0
2006-04-04 00:00:00+00:00,-0.485,-0.115,0.285,-0.05,-0.11,1,0,-1,0,0
2006-04-05 00:00:00+00:00,-0.44,-0.085,0.285,-0.08,-0.12,1,0,-1,0,0
2006-04-06 00:00:00+00:00,-0.365,0.01,0.285,-0.175,-0.205,1,-1,-1,1,1
2006-04-07 00:00:00+00:00,-0.345,-0.095,0.285,-0.18,-0.095,1,0,-1,1,0
2006-04-10 00:00:00+00:00,-0.36,-0.11,0.285,-0.17,-0.09,1,0,-1,1,0
2006-04-11 00:00:00+00:00,-0.35,-0.105,0.285,-0.18,-0.09,1,0,-1,1,0
2006-04-12 00:00:00+00:00,-0.345,-0.105,0.285,-0.19,-0.085,1,0,-1,1,0
2006-04-13 00:00:00+00:00,-0.375,-0.115,0.285,-0.18,-0.085,1,0,-1,1,0
2006-04-18 00:00:00+00:00,-0.03,-0.015,-0.06,-0.18,-0.11,0,-1,0,1,0
2006-04-19 00:00:00+00:00,-0.03,-0.015,-0.06,-0.18,-0.095,0,-1,0,1,0
2006-04-20 00:00:00+00:00,-0.03,-0.005,-0.06,-0.18,-0.115,0,-1,0,1,0
2006-04-21 00:00:00+00:00,-0.03,-0.015,-0.06,-0.18,-0.105,0,-1,0,1,0
2006-04-24 00:00:00+00:00,-0.03,-0.01,-0.06,-0.18,-0.11,0,-1,0,1,0
2006-04-25 00:00:00+00:00,0.05,0.04,-0.14,-0.18,-0.145,0,-1,0,1,0
2006-04-26 00:00:00+00:00,0.07,0.055,-0.16,-0.18,-0.135,0,-1,0,1,0
2006-04-27 00:00:00+00:00,0.055,0.05,-0.145,-0.18,-0.125,0,-1,0,1,0
2006-04-28 00:00:00+00:00,0.05,0.05,-0.14,-0.18,-0.12,0,-1,0,1,0
2006-05-02 00:00:00+00:00,0.07,0.07,-0.16,-0.18,-0.14,0,-1,0,1,0
2006-05-03 00:00:00+00:00,0.065,0.05,-0.155,-0.18,-0.13,0,-1,0,1,0
2006-05-04 00:00:00+00:00,0.07,0.06,-0.16,-0.18,-0.145,0,-1,0,1,0
2006-05-05 00:00:00+00:00,0.075,0.07,-0.165,-0.18,-0.155,0,-1,0,1,0
2006-05-08 00:00:00+00:00,0.09,0.08,-0.18,-0.18,-0.145,0,-1,0,1,0
2006-05-09 00:00:00+00:00,0.095,0.085,-0.185,-0.18,-0.155,0,-1,0,1,0
2006-05-10 00:00:00+00:00,0.085,-0.075,-0.175,-0.03,-0.16,0,0,0,0,0
2006-05-11 00:00:00+00:00,0.105,-0.075,-0.195,-0.03,-0.16,0,0,0,0,0
2006-05-12 00:00:00+00:00,0.095,-0.08,-0.185,-0.03,-0.155,0,0,0,0,0
2006-05-15 00:00:00+00:00,0.03,-0.1,-0.12,-0.03,-0.135,0,0,0,0,0
2006-05-16 00:00:00+00:00,0.03,-0.03,-0.01,-0.14,-0.075,0,0,0,0,0
2006-05-17 00:00:00+00:00,0.03,-0.03,0.0,-0.15,-0.07,0,0,0,0,0
2006-05-18 00:00:00+00:00,0.03,-0.03,-0.01,-0.14,-0.075,0,0,0,0,0
2006-05-19 00:00:00+00:00,0.03,-0.015,0.005,-0.155,-0.08,0,0,0,0,0
2006-05-22 00:00:00+00:00,0.03,-0.035,-0.04,-0.11,-0.075,0,0,0,0,0
2006-05-23 00:00:00+00:00,0.03,-0.035,-0.04,-0.11,-0.07,0,0,0,0,0
2006-05-24 00:00:00+00:00,0.03,-0.045,-0.055,-0.095,-0.07,0,0,0,0,0
2006-05-25 00:00:00+00:00,0.03,-0.045,-0.05,-0.1,-0.075,0,0,0,0,0
2006-05-26 00:00:00+00:00,0.03,-0.045,-0.05,-0.1,-0.075,0,0,0,0,0
2006-05-29 00:00:00+00:00,0.03,-0.045,-0.045,-0.105,-0.08,0,0,0,0,0
2006-05-30 00:00:00+00:00,0.03,-0.045,-0.015,-0.135,-0.06,0,0,0,0,0
2006-05-31 00:00:00+00:00,0.03,-0.11,0.025,-0.085,-0.065,0,0,0,0,0
2006-06-01 00:00:00+00:00,0.03,-0.095,0.025,-0.085,-0.08,0,0,0,0,0
2006-06-02 00:00:00+00:00,0.03,-0.095,-0.01,-0.05,-0.1,0,0,0,0,0
2006-06-05 00:00:00+00:00,0.03,-0.095,0.045,-0.105,-0.08,0,0,0,0,0
2006-06-06 00:00:00+00:00,0.03,-0.095,0.05,-0.11,-0.07,0,0,0,0,0
2006-06-07 00:00:00+00:00,0.03,-0.095,0.04,-0.1,-0.075,0,0,0,0,0
2006-06-08 00:00:00+00:00,0.03,-0.145,-0.02,-0.04,-0.085,0,0,0,0,0
2006-06-09 00:00:00+00:00,0.03,-0.16,-0.05,-0.01,-0.085,0,0,0,0,0
2006-06-12 00:00:00+00:00,0.03,-0.095,-0.055,-0.075,-0.08,0,0,0,0,0
2006-06-13 00:00:00+00:00,0.03,-0.095,-0.06,-0.07,-0.075,0,0,0,0,0
2006-06-14 00:00:00+00:00,0.03,-0.09,-0.035,-0.095,-0.07,0,0,0,0,0
2006-06-15 00:00:00+00:00,0.03,-0.085,-0.025,-0.105,-0.085,0,0,0,0,0
2006-06-16 00:00:00+00:00,0.03,-0.09,-0.025,-0.105,-0.08,0,0,0,0,0
2006-06-19 00:00:00+00:00,0.03,-0.095,0.01,-0.11,-0.1,0,0,0,0,0
2006-06-20 00:00:00+00:00,-0.25,-0.125,0.01,0.015,-0.085,0,0,0,-1,0
2006-06-21 00:00:00+00:00,-0.25,-0.11,0.01,0.01,-0.1,0,0,0,-1,0
2006-06-22 00:00:00+00:00,-0.28,-0.135,0.01,0.035,-0.1,0,0,0,-1,0
2006-06-23 00:00:00+00:00,-0.29,-0.14,0.01,0.04,-0.095,0,0,0,-1,0
2006-06-26 00:00:00+00:00,-0.33,-0.12,0.01,0.075,-0.13,0,0,0,-1,0
2006-06-27 00:00:00+00:00,-0.355,-0.12,0.01,0.075,-0.11,0,0,0,-1,0
2006-06-28 00:00:00+00:00,-0.36,-0.115,0.01,0.07,-0.115,0,0,0,-1,0
2006-06-29 00:00:00+00:00,-0.31,-0.1,0.01,0.03,-0.115,0,0,0,-1,0
2006-06-30 00:00:00+00:00,-0.34,-0.11,0.01,0.04,-0.105,0,0,0,-1,0
2006-07-03 00:00:00+00:00,-0.35,-0.105,0.01,0.035,-0.11,0,0,0,-1,0
2006-07-04 00:00:00+00:00,-0.335,-0.105,0.01,0.03,-0.105,0,0,0,-1,0
2006-07-05 00:00:00+00:00,-0.37,-0.12,0.01,0.055,-0.115,0,0,0,-1,0
2006-07-06 00:00:00+00:00,-0.405,-0.135,0.01,0.07,-0.1,1,0,0,-1,0
2006-07-07 00:00:00+00:00,-0.37,-0.115,0.01,0.05,-0.11,1,0,0,-1,0
2006-07-10 00:00:00+00:00,-0.385,-0.125,0.01,0.06,-0.115,1,0,0,-1,0
2006-07-11 00:00:00+00:00,-0.365,-0.115,0.01,0.05,-0.115,1,0,0,-1,0
2006-07-12 00:00:00+00:00,-0.375,-0.12,0.01,0.055,-0.11,1,0,0,-1,0
2006-07-13 00:00:00+00:00,-0.325,-0.095,0.01,0.035,-0.115,1,0,0,-1,0
2006-07-14 00:00:00+00:00,-0.305,-0.11,0.01,0.03,-0.105,1,0,0,-1,0
2006-07-17 00:00:00+00:00,-0.305,-0.105,0.01,0.035,-0.115,1,0,0,-1,0
2006-07-18 00:00:00+00:00,0.015,0.005,-0.31,0.035,-0.105,0,0,1,-1,0
2006-07-19 00:00:00+00:00,0.015,0.005,-0.31,0.035,-0.105,0,0,1,-1,0
2006-07-20 00:00:00+00:00,0.005,0.005,-0.3,0.035,-0.1,0,0,1,-1,0
2006-07-21 00:00:00+00:00,-0.005,0.005,-0.29,0.035,-0.105,0,0,1,0,0
2006-07-24 00:00:00+00:00,0.01,0.015,-0.305,0.035,-0.105,0,0,1,0,0
2006-07-25 00:00:00+00:00,-0.005,0.015,-0.29,0.035,-0.11,0,0,1,0,0
